Home Team,Away Team,Game Time
CIN,PIT,"March 28 @ 5:00PM"
KCA,CHA,"September 22 @ 3:00PM"
LAN,ARI,"September 22 @ 12:00PM"
FLO,COL,"September 22 @ 8:00PM"
MIL,SLN,"September 22 @ 6:00PM"
MIN,CLE,"September 22 @ 3:30PM"
NYA,BAL,"September 22 @ 8:00PM"
OAK,ANA,"September 22 @ 5:00PM"
PHI,ATL,"September 22 @ 5:00PM"
SDN,SFN,"September 22 @ 5:00PM"
SEA,BOS,"September 22 @ 6:00PM"
TBA,HOU,"September 22 @ 5:00PM"
TEX,CHN,"September 22 @ 5:00PM"
TOR,DET,"September 22 @ 5:00PM"
WAS,NYN,"September 22 @ 5:00PM"